,daily,temp,humidity,precip,windspeed
2017-03-31,30.38,11.7,84.3,5.071,33.5
2017-04-01,26.64,10.5,79.7,2.469,20.2
2017-04-02,2.56,8.3,72.6,0.0,22.0
2017-04-03,13.14,8.2,79.0,0.221,30.9
2017-04-04,125.506,9.3,70.4,0.595,33.9
2017-04-05,4.18,9.3,66.5,0.0,27.0
2017-04-06,48.31999999999999,9.3,76.0,0.0,28.1
2017-04-07,57.72,9.4,76.6,0.0,20.9
2017-04-08,46.668,9.6,71.1,0.0,20.7
2017-04-09,13.9,8.6,78.8,0.052,29.1
2017-04-10,23.484,8.6,64.5,0.06,27.1
2017-04-11,59.1,9.1,77.1,0.0,41.5
2017-04-12,21.798000000000002,9.8,67.2,0.046,33.0
2017-04-13,46.160000000000004,7.8,72.3,0.058,26.7
2017-04-14,3.097,7.9,77.6,0.521,24.2
2017-04-15,33.05,6.7,68.1,0.044,27.1
2017-04-16,5.18,6.1,78.4,1.362,16.9
2017-04-17,44.368,6.7,70.4,0.101,20.8
2017-04-18,7.33,4.0,70.4,0.0,14.2
2017-04-20,4.55,11.9,76.0,0.008,26.2
2017-04-23,16.45,7.7,68.0,0.0,29.3
2017-04-25,20.91,4.6,63.6,0.289,28.0
2017-04-26,6.2,5.5,57.9,0.0,13.2
2017-04-29,12.530000000000001,9.0,71.7,0.115,20.5
2017-04-30,6.09,10.0,70.6,0.0,35.1
2017-05-01,6.15,9.5,81.2,0.0,26.3
2017-05-02,16.57,9.3,82.0,0.0,19.4
2017-05-03,62.09,10.3,65.7,0.0,27.0
2017-05-04,50.169999999999995,8.7,73.1,0.0,32.2
2017-05-08,70.794,8.7,66.2,0.0,26.0
2017-05-09,20.91,10.3,66.8,0.0,23.6
2017-05-10,37.039,8.9,73.7,0.0,20.4
2017-05-11,8.86,9.4,78.1,0.0,22.5
2017-05-12,11.054,9.7,84.4,0.0,21.4
2017-05-14,6.7,13.0,67.2,1.509,26.5
2017-05-16,17.73,14.6,78.2,2.298,37.5
2017-05-17,2.99,11.6,72.5,0.0,19.7
2017-05-19,45.39,10.3,76.9,0.0,16.3
2017-05-20,30.983,10.2,87.0,5.291,19.6
2017-05-21,6.04,11.3,79.2,0.811,22.4
2017-05-22,14.04,12.4,83.5,0.617,17.6
2017-05-23,6.86,11.7,81.5,5.301,22.9
2017-05-24,15.1,16.0,82.9,0.347,23.4
2017-05-25,67.78,18.7,76.1,0.0,14.2
2017-05-26,10.86,18.9,74.0,0.0,15.9
2017-05-29,16.709,11.6,85.3,0.263,16.9
2017-05-30,9.856,12.8,82.2,4.187,32.4
2017-05-31,25.353,12.9,66.7,0.0,15.8
2017-06-01,29.47,14.6,78.8,0.336,23.5
2017-06-02,46.308,14.6,72.8,0.878,19.1
2017-06-03,14.63,11.7,77.6,2.249,16.0
2017-06-04,11.713999999999999,12.1,74.0,0.658,22.9
2017-06-05,8.88,11.8,87.5,11.699,17.8
2017-06-06,5.73,11.0,94.0,36.744,18.8
2017-06-07,31.799999999999997,12.5,62.7,10.73,30.0
2017-06-08,5.8,10.8,91.5,15.044,20.4
2017-06-10,71.773,14.7,81.4,3.678,24.1
2017-06-11,6.49,14.3,82.4,4.388,28.8
2017-06-12,55.784,13.5,80.6,2.263,34.7
2017-06-13,4.98,14.4,83.0,0.488,25.4
2017-06-15,12.33,14.5,76.9,2.544,28.7
2017-06-17,39.769999999999996,18.8,79.6,0.0,26.3
2017-06-18,23.614,19.0,77.3,0.0,24.9
2017-06-19,9.84,17.2,79.1,0.0,22.3
2017-06-21,12.0,15.0,89.7,1.096,11.9
2017-06-22,11.5,15.9,83.2,6.703,21.1
2017-06-23,15.187999999999999,14.5,75.6,1.248,33.9
2017-06-24,24.3,12.7,69.1,0.008,37.1
2017-06-25,18.942,12.6,70.1,0.715,27.8
2017-06-26,9.08,12.5,76.0,0.008,11.9
2017-06-27,14.51,11.4,92.1,9.061,17.4
2017-06-28,29.732,12.1,82.8,3.334,25.8
2017-06-29,16.0,11.3,88.4,15.045,18.8
2017-06-30,24.671,13.8,85.8,1.741,16.8
2017-07-01,20.560000000000002,14.2,81.0,0.13,32.3
2017-07-03,16.73,13.9,71.4,0.262,21.3
2017-07-05,49.089999999999996,13.4,83.4,0.65,15.4
2017-07-06,14.09,14.8,89.1,1.322,13.7
2017-07-07,5.08,15.5,81.3,0.109,20.7
2017-07-08,107.41900000000001,13.7,67.8,0.0,25.4
2017-07-09,20.966,13.6,86.2,3.308,20.8
2017-07-11,16.147,12.7,83.7,0.748,15.3
2017-07-12,7.544,13.9,75.1,0.01,14.5
2017-07-13,34.5,14.3,78.1,0.0,25.5
2017-07-14,15.8,14.1,76.2,0.88,21.3
2017-07-15,7.43,15.8,90.9,1.723,29.7
2017-07-16,49.878,14.6,71.9,0.0,30.5
2017-07-17,47.718,16.8,69.8,0.0,31.3
2017-07-19,30.05,15.0,89.9,0.0,22.6
2017-07-20,38.048,14.3,81.7,7.427,20.5
2017-07-21,9.26,13.2,86.0,0.218,20.2
2017-07-22,38.269,14.3,92.9,5.736,22.6
2017-07-23,14.439,15.2,93.0,4.291,19.3
2017-07-25,17.27,13.6,88.6,0.037,11.7
2017-07-26,6.55,14.1,87.5,10.783,28.6
2017-07-27,59.160000000000004,13.6,80.4,1.751,27.2
2017-07-28,14.116,14.2,81.6,1.372,24.6
2017-07-29,36.879999999999995,14.1,84.4,5.602,29.4
2017-07-30,7.565,14.2,83.5,2.395,23.2
2017-07-31,14.482,13.8,83.0,1.176,24.0
2017-08-01,96.51400000000001,12.8,88.5,5.813,23.6
2017-08-03,98.758,15.7,85.2,4.637,25.4
2017-08-05,25.394,13.5,79.6,2.876,18.4
2017-08-06,26.3,12.2,85.2,2.172,17.5
2017-08-07,50.769999999999996,13.8,80.9,1.777,22.4
2017-08-08,85.979,13.7,77.4,0.0,16.6
2017-08-10,114.815,12.9,77.9,0.0,26.7
2017-08-11,81.619,15.1,83.8,0.459,30.1
2017-08-12,17.695,13.9,79.8,1.419,19.4
2017-08-14,23.844,13.5,88.8,8.28,17.3
2017-08-15,43.054,15.0,80.9,15.145,29.5
2017-08-16,1.773,13.7,85.6,2.343,21.8
2017-08-17,45.254000000000005,16.0,80.6,3.963,29.3
2017-08-18,29.952,13.0,88.8,6.498,28.2
2017-08-19,27.4,13.7,80.0,0.261,33.8
2017-08-20,74.382,14.1,78.5,0.168,17.1
2017-08-21,3.725,12.3,88.3,0.01,9.6
2017-08-22,18.09,15.3,93.7,2.19,13.5
2017-08-23,6.12,16.8,85.9,9.319,17.9
2017-08-24,41.11,15.3,81.1,0.018,22.4
2017-08-25,17.616999999999997,15.0,89.3,2.49,16.9
2017-08-26,28.18,15.1,85.2,2.359,19.3
2017-08-28,36.29,16.6,85.7,0.487,28.2
2017-08-29,7.95,11.9,82.5,0.018,25.2
2017-08-30,27.669,12.4,80.5,0.69,20.6
2017-08-31,15.64,12.1,80.6,0.101,13.8
2017-09-01,17.43,12.8,81.4,0.432,11.7
2017-09-02,19.93,11.9,79.6,0.0,14.0
2017-09-03,17.41,12.5,83.9,0.525,16.8
2017-09-04,18.1,14.7,94.1,7.602,17.4
2017-09-05,23.92,13.1,84.8,0.467,25.2
2017-09-06,53.102000000000004,13.1,81.2,0.152,27.1
2017-09-07,12.105,13.0,91.0,1.4,20.9
2017-09-08,37.765,12.5,86.7,0.404,27.0
2017-09-09,59.888,12.9,82.7,0.498,13.0
2017-09-10,11.033999999999999,11.9,88.5,2.95,26.5
2017-09-11,66.298,12.2,81.0,3.754,24.9
2017-09-14,9.83,11.2,76.4,2.215,23.0
2017-09-15,7.05,11.8,74.9,0.442,16.3
2017-09-16,13.98,9.7,80.2,1.217,12.9
2017-09-17,9.786,10.5,87.3,0.495,14.6
2017-09-18,44.89,10.8,82.1,1.121,9.5
2017-09-19,37.96,9.4,84.3,0.101,19.5
2017-09-20,65.166,13.6,90.3,2.459,17.0
2017-09-21,18.423000000000002,11.9,88.4,4.917,17.6
2017-09-22,16.062,9.3,88.9,0.318,17.0
2017-09-23,60.111,13.0,86.9,0.137,16.6
2017-09-24,21.62,13.8,87.6,2.697,11.8
2017-09-25,12.56,13.6,96.3,10.991,10.5
2017-09-27,41.47,14.3,84.5,0.016,24.0
2017-09-28,23.536,14.2,82.0,5.272,16.4
2017-09-29,3.9219999999999997,13.0,79.2,0.863,24.6
2017-09-30,45.854,9.9,79.3,0.399,19.1
2017-10-02,11.22,12.1,79.6,5.378,41.2
2017-10-03,41.113,10.9,75.3,0.173,28.8
2017-10-04,8.83,10.4,87.3,1.813,29.4
2017-10-05,13.94,10.1,77.1,5.182,20.7
2017-10-06,48.869,8.7,80.9,0.0,17.3
2017-10-07,19.484,13.1,84.2,0.28,26.5
2017-10-08,48.651,12.0,87.8,0.0,17.4
2017-10-10,64.935,11.7,83.1,1.25,30.4
2017-10-11,7.17,12.2,86.2,4.42,29.9
2017-10-12,48.024,10.6,83.3,0.974,27.8
2017-10-14,33.151,12.4,84.0,0.042,22.1
2017-10-16,8.47,11.6,92.4,5.812,28.6
2017-10-17,32.82,12.5,84.6,1.197,52.9
2017-10-18,14.743,9.9,87.4,0.387,17.8
2017-10-19,24.22,11.8,91.4,0.903,12.2
2017-10-20,24.803,12.2,90.3,7.293,12.2
2017-10-21,58.769999999999996,11.5,88.5,4.375,20.2
2017-10-22,63.989000000000004,10.7,84.9,0.726,26.7
2017-10-23,2.69,10.1,90.3,1.834,21.2
2017-10-24,5.837,10.9,87.1,1.002,28.4
2017-10-25,34.659,11.0,84.5,0.169,38.0
2017-10-26,23.066,10.8,81.7,0.008,25.7
2017-10-27,5.922000000000001,7.6,82.3,0.01,23.4
2017-10-28,27.472,12.7,81.7,0.016,37.9
2017-10-29,9.67,7.0,69.8,0.008,19.9
2017-10-30,32.201,3.7,89.1,0.0,20.5
2017-10-31,53.177,12.1,93.2,1.484,28.8
2017-11-01,20.91,11.8,91.2,1.03,29.1
2017-11-02,16.595,6.1,83.8,0.156,10.4
2017-11-03,14.523,7.9,84.5,0.0,23.1
2017-11-04,43.121,6.9,87.0,0.753,21.7
2017-11-05,23.88,3.6,80.7,0.115,16.3
2017-11-06,6.92,5.2,87.9,0.127,29.1
2017-11-07,7.527,7.4,85.0,3.12,31.3
2017-11-08,6.25,4.5,91.3,0.245,31.3
2017-11-09,50.001000000000005,9.7,74.2,0.726,32.6
2017-11-10,36.37,5.6,78.4,1.641,27.0
2017-11-11,6.21,3.2,83.7,0.04,15.9
2017-11-12,7.44,4.1,70.6,0.032,21.9
2017-11-13,5.02,4.1,81.5,0.036,28.2
2017-11-14,15.47,8.2,89.9,0.408,27.7
2017-11-15,4.51,5.3,92.7,0.0,20.3
2017-11-16,39.929,6.9,79.6,2.674,29.9
2017-11-19,16.811,2.5,84.6,0.008,15.2
2017-11-20,2.552,5.3,99.3,6.161,12.3
2017-11-21,14.283,8.4,97.1,5.401,38.6
2017-11-23,12.33,2.9,90.9,6.341,17.5
2017-11-24,26.57,1.0,91.3,0.754,22.8
2017-11-26,20.5,3.5,83.2,0.118,20.9
2017-11-27,43.126000000000005,4.6,81.7,1.646,29.0
2017-11-28,55.102000000000004,3.8,76.0,0.01,17.4
2017-11-29,36.587,2.8,70.2,0.008,16.8
2017-11-30,91.385,1.8,69.6,0.0,18.6
2017-12-02,24.759999999999998,6.2,91.3,0.345,18.3
2017-12-03,16.256,6.1,83.8,0.146,15.3
2017-12-04,43.11,7.1,88.1,0.008,20.0
2017-12-05,7.59,8.0,88.2,0.018,33.5
2017-12-07,56.805,6.2,80.3,7.161,42.1
2017-12-08,57.221000000000004,0.8,70.4,0.028,25.3
2017-12-10,19.69,-5.1,90.1,0.0,8.8
