,daily,temp,humidity,precip,windspeed
2017-02-17,35.07,5.0,92.6,0.155,8.8
2017-02-18,28.189999999999998,9.4,87.6,0.874,30.0
2017-02-19,74.13,9.5,88.1,0.034,29.1
2017-02-20,49.952,10.5,77.3,0.181,39.3
2017-02-21,9.43,7.9,81.8,0.794,36.2
2017-02-22,151.666,6.1,72.3,2.573,38.3
2017-02-23,39.224000000000004,2.5,91.7,17.72,31.3
2017-02-24,103.98,3.3,86.0,0.488,20.3
2017-02-25,59.825,7.9,84.3,7.305,41.5
2017-02-26,47.716,6.4,85.5,10.539,38.1
2017-02-27,60.99,3.3,80.0,1.966,22.7
2017-02-28,131.03,2.4,78.3,0.034,13.4
2017-03-01,16.46,2.7,78.4,0.01,14.5
2017-03-02,29.154,3.5,78.2,0.152,31.5
2017-03-03,39.925,2.7,88.5,0.153,20.1
2017-03-04,80.853,4.7,96.4,13.167,25.5
2017-03-05,57.510000000000005,4.5,92.0,3.593,7.9
2017-03-06,81.47,4.5,89.3,0.689,9.3
2017-03-07,81.713,4.7,85.0,0.357,18.2
2017-03-08,91.445,7.2,83.0,2.431,41.3
2017-03-09,65.961,7.3,73.1,4.074,26.5
2017-03-10,118.19399999999999,5.2,91.2,0.335,7.5
2017-03-11,102.451,9.5,89.8,0.935,18.5
2017-03-12,31.239,8.7,88.9,0.582,19.9
2017-03-13,108.369,8.8,75.9,0.016,30.8
2017-03-14,59.419000000000004,9.9,72.1,0.079,52.0
2017-03-15,159.527,8.7,78.3,0.046,34.1
2017-03-16,20.214,8.2,78.8,0.745,41.0
2017-03-17,88.134,6.6,89.7,2.196,32.2
2017-03-18,72.8,7.2,91.5,3.662,16.6
2017-03-19,125.844,9.1,81.6,4.717,33.9
2017-03-20,51.254999999999995,5.9,80.5,2.614,36.0
2017-03-21,122.069,2.6,85.0,3.007,36.2
2017-03-22,117.41,1.9,84.9,1.065,32.0
2017-03-23,88.038,5.3,77.4,1.537,28.7
2017-03-24,76.854,5.0,76.9,0.101,15.4
2017-03-25,42.969,8.3,60.6,0.0,15.5
2017-03-26,13.21,6.4,77.1,0.0,14.4
2017-03-27,42.3,6.4,81.2,0.0,16.7
2017-03-28,41.989000000000004,6.7,89.7,0.111,14.1
2017-03-29,109.806,8.3,95.1,2.432,16.4
2017-03-30,26.049,11.7,87.4,1.613,19.0
2017-03-31,89.5,11.7,84.3,5.071,33.5
2017-04-01,106.832,10.5,79.7,2.469,20.2
2017-04-02,81.405,8.3,72.6,0.0,22.0
2017-04-03,63.931,8.2,79.0,0.221,30.9
2017-04-04,61.04,9.3,70.4,0.595,33.9
2017-04-05,76.593,9.3,66.5,0.0,27.0
2017-04-06,66.36,9.3,76.0,0.0,28.1
2017-04-07,82.25999999999999,9.4,76.6,0.0,20.9
2017-04-08,78.8,9.6,71.1,0.0,20.7
2017-04-09,119.29,8.6,78.8,0.052,29.1
2017-04-10,179.15,8.6,64.5,0.06,27.1
2017-04-11,202.44,9.1,77.1,0.0,41.5
2017-04-12,264.7,9.8,67.2,0.046,33.0
2017-04-13,43.014,7.8,72.3,0.058,26.7
2017-04-14,36.71,7.9,77.6,0.521,24.2
2017-04-15,16.218,6.7,68.1,0.044,27.1
2017-04-16,44.5,6.1,78.4,1.362,16.9
2017-04-17,86.143,6.7,70.4,0.101,20.8
2017-04-18,89.18,4.0,70.4,0.0,14.2
2017-04-19,17.65,9.4,69.9,0.008,23.3
2017-04-20,77.958,11.9,76.0,0.008,26.2
2017-04-21,48.554,11.1,71.7,0.421,28.7
2017-04-22,41.21,7.1,62.2,0.0,14.0
2017-04-23,86.39,7.7,68.0,0.0,29.3
2017-04-24,52.849000000000004,6.6,61.5,0.374,33.5
2017-04-25,53.78,4.6,63.6,0.289,28.0
2017-04-26,43.842,5.5,57.9,0.0,13.2
2017-04-27,58.66,9.5,65.2,0.085,21.6
2017-04-28,80.368,7.6,71.4,0.184,13.3
2017-04-29,65.64,9.0,71.7,0.115,20.5
2017-04-30,72.464,10.0,70.6,0.0,35.1
2017-05-01,79.839,9.5,81.2,0.0,26.3
2017-05-02,71.423,9.3,82.0,0.0,19.4
2017-05-03,30.665,10.3,65.7,0.0,27.0
2017-05-04,62.486999999999995,8.7,73.1,0.0,32.2
2017-05-05,11.974,8.9,70.3,0.0,29.1
2017-05-07,124.124,10.3,74.2,0.0,18.4
