,daily,temp,humidity,precip,windspeed
2017-02-14,87.226,5.6,83.3,0.0,25.0
2017-02-15,75.518,6.3,90.8,0.094,18.1
2017-02-16,57.287,8.2,85.8,0.846,31.0
2017-02-17,85.28,5.0,92.6,0.155,8.8
2017-02-18,60.657000000000004,9.4,87.6,0.874,30.0
2017-02-19,35.348,9.5,88.1,0.034,29.1
2017-02-20,65.795,10.5,77.3,0.181,39.3
2017-02-21,67.70400000000001,7.9,81.8,0.794,36.2
2017-02-22,97.931,6.1,72.3,2.573,38.3
2017-02-23,53.47,2.5,91.7,17.72,31.3
2017-02-24,84.03999999999999,3.3,86.0,0.488,20.3
2017-02-25,69.7,7.9,84.3,7.305,41.5
2017-02-26,37.057,6.4,85.5,10.539,38.1
2017-02-27,64.116,3.3,80.0,1.966,22.7
2017-02-28,64.355,2.4,78.3,0.034,13.4
2017-03-01,134.75300000000001,2.7,78.4,0.01,14.5
2017-03-02,66.69,3.5,78.2,0.152,31.5
2017-03-03,121.38,2.7,88.5,0.153,20.1
2017-03-04,31.298000000000002,4.7,96.4,13.167,25.5
2017-03-05,74.9,4.5,92.0,3.593,7.9
2017-03-06,135.46,4.5,89.3,0.689,9.3
2017-03-07,68.16,4.7,85.0,0.357,18.2
2017-03-08,51.28,7.2,83.0,2.431,41.3
2017-03-09,112.94,7.3,73.1,4.074,26.5
2017-03-10,183.46,5.2,91.2,0.335,7.5
2017-03-11,142.951,9.5,89.8,0.935,18.5
2017-03-12,71.4,8.7,88.9,0.582,19.9
2017-03-13,49.74,8.8,75.9,0.016,30.8
2017-03-14,50.17,9.9,72.1,0.079,52.0
2017-03-15,79.69,8.7,78.3,0.046,34.1
2017-03-16,58.276,8.2,78.8,0.745,41.0
2017-03-17,74.94,6.6,89.7,2.196,32.2
2017-03-18,141.95,7.2,91.5,3.662,16.6
2017-03-19,172.31,9.1,81.6,4.717,33.9
2017-03-20,145.766,5.9,80.5,2.614,36.0
2017-03-21,69.093,2.6,85.0,3.007,36.2
2017-03-22,67.468,1.9,84.9,1.065,32.0
2017-03-23,30.751,5.3,77.4,1.537,28.7
2017-03-24,116.022,5.0,76.9,0.101,15.4
2017-03-25,44.748999999999995,8.3,60.6,0.0,15.5
2017-03-26,32.16,6.4,77.1,0.0,14.4
2017-03-27,50.314,6.4,81.2,0.0,16.7
2017-03-28,33.63,6.7,89.7,0.111,14.1
2017-03-29,62.669,8.3,95.1,2.432,16.4
2017-03-30,53.8,11.7,87.4,1.613,19.0
2017-03-31,80.49,11.7,84.3,5.071,33.5
2017-04-01,102.773,10.5,79.7,2.469,20.2
2017-04-02,86.921,8.3,72.6,0.0,22.0
2017-04-03,123.717,8.2,79.0,0.221,30.9
2017-04-04,79.11,9.3,70.4,0.595,33.9
2017-04-05,61.18,9.3,66.5,0.0,27.0
2017-04-06,64.36,9.3,76.0,0.0,28.1
2017-04-07,52.608,9.4,76.6,0.0,20.9
2017-04-08,95.92,9.6,71.1,0.0,20.7
2017-04-09,101.8,8.6,78.8,0.052,29.1
2017-04-10,128.077,8.6,64.5,0.06,27.1
2017-04-11,93.425,9.1,77.1,0.0,41.5
2017-04-12,213.301,9.8,67.2,0.046,33.0
2017-04-13,52.61,7.8,72.3,0.058,26.7
2017-04-14,86.79,7.9,77.6,0.521,24.2
2017-04-15,97.5,6.7,68.1,0.044,27.1
2017-04-16,85.67099999999999,6.1,78.4,1.362,16.9
2017-04-17,116.953,6.7,70.4,0.101,20.8
2017-04-18,37.1,4.0,70.4,0.0,14.2
2017-04-19,62.631,9.4,69.9,0.008,23.3
2017-04-20,106.98,11.9,76.0,0.008,26.2
2017-04-21,63.32,11.1,71.7,0.421,28.7
2017-04-22,60.143,7.1,62.2,0.0,14.0
2017-04-23,71.019,7.7,68.0,0.0,29.3
2017-04-24,60.509,6.6,61.5,0.374,33.5
2017-04-25,67.848,4.6,63.6,0.289,28.0
2017-04-26,32.676,5.5,57.9,0.0,13.2
2017-04-27,105.45,9.5,65.2,0.085,21.6
2017-04-28,26.66,7.6,71.4,0.184,13.3
2017-04-29,132.236,9.0,71.7,0.115,20.5
2017-04-30,94.994,10.0,70.6,0.0,35.1
2017-05-01,149.844,9.5,81.2,0.0,26.3
2017-05-02,85.76,9.3,82.0,0.0,19.4
2017-05-03,30.54,10.3,65.7,0.0,27.0
2017-05-04,75.70400000000001,8.7,73.1,0.0,32.2
2017-05-05,130.8,8.9,70.3,0.0,29.1
2017-05-06,59.22,9.4,70.1,0.0,26.6
2017-05-07,31.5,10.3,74.2,0.0,18.4
2017-05-08,142.79,8.7,66.2,0.0,26.0
2017-05-09,89.14,10.3,66.8,0.0,23.6
2017-05-10,191.973,8.9,73.7,0.0,20.4
2017-05-11,184.663,9.4,78.1,0.0,22.5
2017-05-12,167.391,9.7,84.4,0.0,21.4
2017-05-13,89.25,10.7,92.1,2.473,28.4
2017-05-14,117.884,13.0,67.2,1.509,26.5
2017-05-15,41.34,12.1,84.2,6.104,18.8
2017-05-16,76.4,14.6,78.2,2.298,37.5
2017-05-17,22.78,11.6,72.5,0.0,19.7
2017-05-18,22.21,12.3,67.4,0.034,19.0
2017-05-19,142.148,10.3,76.9,0.0,16.3
2017-05-20,118.98,10.2,87.0,5.291,19.6
2017-05-21,104.902,11.3,79.2,0.811,22.4
2017-05-22,57.667,12.4,83.5,0.617,17.6
2017-05-23,24.81,11.7,81.5,5.301,22.9
2017-05-24,16.6,16.0,82.9,0.347,23.4
2017-05-25,99.24000000000001,18.7,76.1,0.0,14.2
2017-05-26,72.88,18.9,74.0,0.0,15.9
2017-05-27,50.28,15.8,85.2,1.287,15.9
2017-05-28,101.47,16.7,77.4,2.682,20.1
2017-05-29,123.445,11.6,85.3,0.263,16.9
2017-05-30,58.019999999999996,12.8,82.2,4.187,32.4
2017-05-31,28.03,12.9,66.7,0.0,15.8
2017-06-01,137.26,14.6,78.8,0.336,23.5
2017-06-02,47.93,14.6,72.8,0.878,19.1
2017-06-03,40.877,11.7,77.6,2.249,16.0
2017-06-04,69.269,12.1,74.0,0.658,22.9
2017-06-05,91.438,11.8,87.5,11.699,17.8
2017-06-06,90.26,11.0,94.0,36.744,18.8
2017-06-07,67.06,12.5,62.7,10.73,30.0
2017-06-08,92.17999999999999,10.8,91.5,15.044,20.4
2017-06-09,54.65,13.7,84.5,8.242,24.5
2017-06-10,115.82,14.7,81.4,3.678,24.1
2017-06-11,52.35,14.3,82.4,4.388,28.8
2017-06-12,70.848,13.5,80.6,2.263,34.7
2017-06-13,88.848,14.4,83.0,0.488,25.4
2017-06-14,77.849,16.4,78.6,0.254,17.2
2017-06-15,50.305,14.5,76.9,2.544,28.7
2017-06-16,142.483,14.1,83.7,0.17,26.0
2017-06-17,84.15,18.8,79.6,0.0,26.3
2017-06-18,123.398,19.0,77.3,0.0,24.9
2017-06-19,29.380000000000003,17.2,79.1,0.0,22.3
2017-06-20,86.8,13.5,81.5,0.0,20.2
2017-06-21,40.44,15.0,89.7,1.096,11.9
2017-06-22,12.84,15.9,83.2,6.703,21.1
2017-06-23,93.59,14.5,75.6,1.248,33.9
2017-06-24,75.735,12.7,69.1,0.008,37.1
2017-06-25,74.591,12.6,70.1,0.715,27.8
2017-06-26,88.58200000000001,12.5,76.0,0.008,11.9
2017-06-27,32.26,11.4,92.1,9.061,17.4
2017-06-28,22.74,12.1,82.8,3.334,25.8
2017-06-29,56.022,11.3,88.4,15.045,18.8
2017-06-30,89.694,13.8,85.8,1.741,16.8
2017-07-01,160.03,14.2,81.0,0.13,32.3
2017-07-02,98.66,13.3,78.0,0.109,28.2
2017-07-03,78.94,13.9,71.4,0.262,21.3
2017-07-04,110.85,11.3,92.5,5.18,17.6
2017-07-05,120.21000000000001,13.4,83.4,0.65,15.4
2017-07-06,54.542,14.8,89.1,1.322,13.7
2017-07-07,70.802,15.5,81.3,0.109,20.7
2017-07-08,98.10300000000001,13.7,67.8,0.0,25.4
2017-07-09,115.00999999999999,13.6,86.2,3.308,20.8
2017-07-10,140.948,12.0,92.3,5.367,13.3
2017-07-11,43.022,12.7,83.7,0.748,15.3
2017-07-12,132.403,13.9,75.1,0.01,14.5
2017-07-13,47.366,14.3,78.1,0.0,25.5
2017-07-14,115.57300000000001,14.1,76.2,0.88,21.3
2017-07-15,109.84,15.8,90.9,1.723,29.7
2017-07-16,151.822,14.6,71.9,0.0,30.5
2017-07-17,54.074,16.8,69.8,0.0,31.3
2017-07-18,32.57,16.1,77.5,0.0,22.2
2017-07-19,86.16,15.0,89.9,0.0,22.6
2017-07-20,75.4,14.3,81.7,7.427,20.5
2017-07-21,32.31,13.2,86.0,0.218,20.2
2017-07-22,97.81,14.3,92.9,5.736,22.6
2017-07-23,85.15,15.2,93.0,4.291,19.3
2017-07-24,110.761,15.8,76.8,0.047,18.6
2017-07-25,102.23,13.6,88.6,0.037,11.7
2017-07-26,81.482,14.1,87.5,10.783,28.6
2017-07-27,61.08,13.6,80.4,1.751,27.2
2017-07-28,137.17,14.2,81.6,1.372,24.6
2017-07-29,124.83,14.1,84.4,5.602,29.4
2017-07-30,105.64,14.2,83.5,2.395,23.2
2017-07-31,92.26,13.8,83.0,1.176,24.0
2017-08-01,68.91,12.8,88.5,5.813,23.6
2017-08-02,85.989,13.3,89.3,3.192,19.0
2017-08-03,79.327,15.7,85.2,4.637,25.4
2017-08-04,75.00999999999999,14.4,86.6,6.925,20.7
2017-08-05,111.711,13.5,79.6,2.876,18.4
2017-08-06,65.66,12.2,85.2,2.172,17.5
2017-08-07,83.475,13.8,80.9,1.777,22.4
2017-08-08,41.567,13.7,77.4,0.0,16.6
2017-08-09,110.986,13.9,71.8,0.0,18.3
2017-08-10,147.112,12.9,77.9,0.0,26.7
2017-08-11,118.386,15.1,83.8,0.459,30.1
2017-08-12,235.429,13.9,79.8,1.419,19.4
2017-08-13,93.89,12.4,75.9,0.0,17.7
2017-08-14,84.847,13.5,88.8,8.28,17.3
2017-08-15,71.283,15.0,80.9,15.145,29.5
2017-08-16,114.744,13.7,85.6,2.343,21.8
2017-08-17,94.06,16.0,80.6,3.963,29.3
2017-08-18,186.84799999999998,13.0,88.8,6.498,28.2
2017-08-19,145.825,13.7,80.0,0.261,33.8
2017-08-20,111.672,14.1,78.5,0.168,17.1
2017-08-21,69.556,12.3,88.3,0.01,9.6
2017-08-22,91.571,15.3,93.7,2.19,13.5
2017-08-23,77.40299999999999,16.8,85.9,9.319,17.9
